"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2023 00:00 - 01.01.2023 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","221","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","112"
"United Kingdom (UK)","01.01.2023 00:30 - 01.01.2023 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","222","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","75"
"United Kingdom (UK)","01.01.2023 01:00 - 01.01.2023 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","222","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","45"
"United Kingdom (UK)","01.01.2023 01:30 - 01.01.2023 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","220","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","29"
"United Kingdom (UK)","01.01.2023 02:00 - 01.01.2023 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","15"
"United Kingdom (UK)","01.01.2023 02:30 - 01.01.2023 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","218","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","9"
"United Kingdom (UK)","01.01.2023 03:00 - 01.01.2023 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","226","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","6"
"United Kingdom (UK)","01.01.2023 03:30 - 01.01.2023 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","221","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","4"
"United Kingdom (UK)","01.01.2023 04:00 - 01.01.2023 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","220","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","4"
"United Kingdom (UK)","01.01.2023 04:30 - 01.01.2023 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","224","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 05:00 - 01.01.2023 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","222","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 05:30 - 01.01.2023 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 06:00 - 01.01.2023 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","217","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 06:30 - 01.01.2023 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","212","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 07:00 - 01.01.2023 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 07:30 - 01.01.2023 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","237","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 08:00 - 01.01.2023 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","239","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3"
"United Kingdom (UK)","01.01.2023 08:30 - 01.01.2023 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","220","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3"
"United Kingdom (UK)","01.01.2023 09:00 - 01.01.2023 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","216","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2"
"United Kingdom (UK)","01.01.2023 09:30 - 01.01.2023 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","224","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1"
"United Kingdom (UK)","01.01.2023 10:00 - 01.01.2023 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","235","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3"
"United Kingdom (UK)","01.01.2023 10:30 - 01.01.2023 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","247","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","6"
"United Kingdom (UK)","01.01.2023 11:00 - 01.01.2023 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","248","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","9"
"United Kingdom (UK)","01.01.2023 11:30 - 01.01.2023 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","244","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","8"
"United Kingdom (UK)","01.01.2023 12:00 - 01.01.2023 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","10"
"United Kingdom (UK)","01.01.2023 12:30 - 01.01.2023 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","228","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","10"
"United Kingdom (UK)","01.01.2023 13:00 - 01.01.2023 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","237","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","11"
"United Kingdom (UK)","01.01.2023 13:30 - 01.01.2023 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","303","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","10"
"United Kingdom (UK)","01.01.2023 14:00 - 01.01.2023 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","310","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","11"
"United Kingdom (UK)","01.01.2023 14:30 - 01.01.2023 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","303","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","9"
"United Kingdom (UK)","01.01.2023 15:00 - 01.01.2023 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","300","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","7"
"United Kingdom (UK)","01.01.2023 15:30 - 01.01.2023 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","291","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","5"
"United Kingdom (UK)","01.01.2023 16:00 - 01.01.2023 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","276","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","5"
"United Kingdom (UK)","01.01.2023 16:30 - 01.01.2023 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","280","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3"
